team,rush_att,rush_yds,rush_tds,pass_cmp,pass_att,pass_yds,pass_tds,pass_int,passer_rating,net_pass_yds,total_yds,times_sacked,yds_sacked_for,fumbles,fumbles_lost,turnovers,penalties,penalty_yds,first_downs,third_down_conv,third_down_att,third_down_conv_pct,fourth_down_conv,fourth_down_att,fourth_down_conv_pct,time_of_possession,tm_spread,opp_spread,total,attendance,duration,roof_type,surface_type,won_toss,won_toss_decision,won_toss_overtime,won_toss_overtime_decision,temperature,humidity_pct,wind_speed,tm_location,opp_location,tm_score,opp_score,week,opponent
Eagles,38.0,144.0,2.0,20.0,34.0,278.0,2.0,2.0,80.27,266.0,410.0,2.0,12.0,2.0,1.0,3.0,7.0,57.0,25.0,4.0,14.0,0.286,1.0,1.0,1.0,1967.0,-2.0,2.0,49.5,47236.0,209.0,0.0,0.0,GB,Accepted,0.0,0.0,0.0,0.0,0.0,H,A,34.0,29.0,1.0,Packers
Packers,21.0,163.0,1.0,17.0,35.0,260.0,2.0,1.0,80.655,251.0,414.0,2.0,9.0,1.0,0.0,1.0,10.0,71.0,19.0,3.0,11.0,0.273,1.0,1.0,1.0,1633.0,2.0,-2.0,49.5,47236.0,209.0,0.0,0.0,GB,Accepted,0.0,0.0,0.0,0.0,0.0,A,H,29.0,34.0,1.0,Eagles
